libvpx 1.17.0-1
libwacom 2.20.0-1
libwbclient 2:4.24.7-1
libwebp 1.6.0-2
libwireplumber 0.5.17-1
libwnck3 43.3-1
libx11 1.8.13-1
libxau 1.0.12-1
libxaw 1.0.16-2
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxdp 1.6.3-2
libxext 1.3.7-1
libxfce4ui 4.20.2-1
libxfce4util 4.20.1-1
libxfixes 6.0.2-1
libxfont2 2.0.9-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxml2 2.15.4-1
libxmlb 0.3.29-1
libxmu 1.3.1-1
libxnvctrl 615.71.09-1
libxpm 3.5.19-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxres 1.2.3-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2921+644251f25-1
libzip 1.11.4-1
licenses 20240728-1
lilv 0.28.0-1
linux 7.2.6.arch2-1
linux-api-headers 7.2-1
linux-firmware 20260916-1
linux-firmware-amd 20260916-1
linux-firmware-amdgpu 20260916-1
linux-firmware-atheros 20260916-1
linux-firmware-broadcom 20260916-1
linux-firmware-cirrus 20260916-1
linux-firmware-intel 20260916-1
linux-firmware-mediatek 20260916-1
linux-firmware-nvidia 20260916-1
linux-firmware-other 20260916-1
linux-firmware-radeon 20260916-1
linux-firmware-realtek 20260916-1
linux-firmware-ti 20260916-1
linux-firmware-whence 20260916-1
linux-headers 7.2.6.arch2-1
linux-lts 6.18.52-1
linux-lts-headers 6.18.52-1
litehtml 0.10-1
lld 22.1.8-1
llhttp 9.3.1-1
llvm-libs 22.1.8-2
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
localsearch 3.11.2-1
loupe 50.0-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.7-1
lua 5.5.1-1
lua54 5.4.9-1
luajit 2.1.1788856981+c6ffc14-1
lv2 1.18.10-2
lxc 1:7.0.0-2
lz4 1:1.10.0-2
lzip 1.26-1
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-3
make 4.4.1-3
malcontent 0.14.0-4
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
mesa 1:26.2.3-1
meson 1.12.0-1
micro 2.0.15-3
minizip 1:1.3.2-3
mission-center 1.2.0-1
mjpegtools 2.2.1-4
mkinitcpio 42-1
